PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
C	Rybina, G; Demidov, D; Chekalin, D		Samsonovich, AV; Klimov, VV; Rybina, GV		Rybina, Galina; Demidov, Dmitriy; Chekalin, Dmitriy			Collaboration of All-Purpose Static Solver, Temporal Reasoning and Simulation Modeling Tools in Dynamic Integrated Expert Systems	BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES (BICA) FOR YOUNG SCIENTISTS	Advances in Intelligent Systems and Computing				1st International Early Research Career Enhancement School on Biologically Inspired Cognitive Architectures (FIERCES on BICA)	APR 21-24, 2016	Moscow, RUSSIA	Russian Assoc Artificial Intelligence, BICA Soc, Russian Sci Fdn									Rybina, Galina/0000-0002-4077-3660; Demidov, Dmitry/0000-0003-0261-3604												2194-5357	2194-5365	978-3-319-32554-5; 978-3-319-32553-8				2016	449						191	196		10.1007/978-3-319-32554-5_24							WOS:000386313100024						
C	Mehalaine, R; Boutekkouk, F		Silhavy, R; Senkerik, R; Oplatkova, ZK; Silhavy, P; Prokopova, Z		Mehalaine, Ridha; Boutekkouk, Fateh			Fuzzy Energy Aware Real Time Scheduling Targeting Mono-processor Embedded Architectures	ARTIFICIAL INTELLIGENCE PERSPECTIVES IN INTELLIGENT SYSTEMS, VOL 1	Advances in Intelligent Systems and Computing				5th Computer Science On-line Conference (CSOC)	APR 27-30, 2016	Prague, ELECTR NETWORK									boutekkouk, fateh/D-2039-2018													2194-5357		978-3-319-33625-1; 978-3-319-33623-7				2016	464						81	91		10.1007/978-3-319-33625-1_8							WOS:000385237600008						
C	Sanchez, R; Herrero, A; Corchado, E		Herrero, A; Baruque, B; Sedano, J; Quintian, H; Corchado, E		Sanchez, Raul; Herrero, Alvaro; Corchado, Emilio			Clustering and Neural Visualization for Flow-Based Intrusion Detection	INTERNATIONAL JOINT CONFERENCE: CISIS'15 AND ICEUTE'15	Advances in Intelligent Systems and Computing				8th International Conf on Computational Intelligence in Security for Information Systems / 6th International Conf on EUropean Transnational Education	JUN, 2015	Burgos, SPAIN	IEEE Spain Sect, IEEE Syst, Man & Cybernet Spanish Chapter, Int Federat Computat Log								Herrero, Alvaro/C-7404-2009	Herrero, Alvaro/0000-0002-2444-5384												2194-5357	2194-5365	978-3-319-19713-5; 978-3-319-19712-8				2015	369						333	345		10.1007/978-3-319-19713-5_29							WOS:000365128500029						
C	Klos, S; Stadnicka, D		Wilimowska, Z; Borzemski, L; Swiatek, J		Klos, Slawomir; Stadnicka, Dorota			An Analysis of the Impact of Buffer Allocation and Maintenance on the Effectiveness of a Manufacturing System Using Computer Simulation	INFORMATION SYSTEMS ARCHITECTURE AND TECHNOLOGY, PT III	Advances in Intelligent Systems and Computing				38th International Conference on Information Systems Architecture and Technology (ISAT)	SEP 17-19, 2017	Szklarska Poreba, POLAND	Wroclaw Univ Technol, Fac Comp Sci & Management, Dept Comp Sci, Wroclaw Univ Technol, Fac Comp Sci & Management, Dept Management Syst								Klos, Slawomir/AAP-8167-2021	Klos, Slawomir/0000-0001-7110-9052; Stadnicka, Dorota/0000-0002-4516-7926												2194-5357	2194-5365	978-3-319-67223-6; 978-3-319-67222-9				2018	657						355	368		10.1007/978-3-319-67223-6_34							WOS:000452450400034						
C	Sinuk, VG; Polyakov, VM		Abraham, A; Kovalev, S; Tarassov, V; Snasel, V; Vasileva, M; Sukhanov, A		Sinuk, Vasiliy G.; Polyakov, Vladimir M.			Comparative Analysis of the Inference Methods Based on the Fuzzy Truth Value for the MISO-Structure Systems	PROCEEDINGS OF THE SECOND INTERNATIONAL SCIENTIFIC CONFERENCE INTELLIGENT INFORMATION TECHNOLOGIES FOR INDUSTRY (IITI'17), VOL 1	Advances in Intelligent Systems and Computing				2nd International Scientific Conference on Intelligent Information Technologies for Industry (IITI)	SEP 14-16, 2017	Varna, BULGARIA	Tech Univ Varna, Tech Univ Sofia, VSB Tech Univ Ostrava, Rostov State Transport Univ																					2194-5357	2194-5365	978-3-319-68321-8				2018	679						305	311		10.1007/978-3-319-68321-8_31							WOS:000585070600031						
C	Kim, D; Jo, W; Lee, B; An, J; Kim, D		Kim, JH; Yang, W; Jo, J; Sincak, P; Myung, H		Kim, Donghoe; Jo, Wonse; Lee, Bumjoo; An, Jinung; Kim, Donghan			Improvement of Dust Detection System Using Infra-red Sensors	ROBOT INTELLIGENCE TECHNOLOGY ANDAPPLICATIONS 3	Advances in Intelligent Systems and Computing				3rd International Conference on Robot Intelligence Technology and Applications	NOV 06-08, 2014	Beijing, PEOPLES R CHINA									Kim, Donghan/AAK-7185-2020	Kim, Donghan/0000-0003-0477-3847												2194-5357		978-3-319-16841-8; 978-3-319-16840-1				2015	345						693	704		10.1007/978-3-319-16841-8_63							WOS:000380533900063						
C	Majstorovic, D		Abraham, A; WegrzynWolska, K; Hassanien, AE; Snasel, V; Alimi, AM		Majstorovic, Dunja			Proposition of a Protocol for E-voting Systems that Breaks the Link Between the Voter and His Vote	PROCEEDINGS OF THE SECOND INTERNATIONAL AFRO-EUROPEAN CONFERENCE FOR INDUSTRIAL ADVANCEMENT (AECIA 2015)	Advances in Intelligent Systems and Computing				2nd International Afro-European Conference for Industrial Advancement (AECIA)	SEP 09-11, 2015	Engn Sch Digital Sci, AllianSTIC Lab, Villejuif, FRANCE	Tech Univ Ostrava, Dept Comp Sci, Univ Sfax, Res Grp Intelligent Machines	Engn Sch Digital Sci, AllianSTIC Lab																				2194-5357	2194-5365	978-3-319-29504-6; 978-3-319-29503-9				2016	427						271	281		10.1007/978-3-319-29504-6_27							WOS:000371912400027						
C	Senobary, S; Naghibzadeh, M		Jain, LC; Patnaik, S; Ichalkaranje, N		Senobary, Saeed; Naghibzadeh, Mahmoud			First-Fit Semi-partitioned Scheduling Based on Rate Monotonic Algorithm	INTELLIGENT COMPUTING, COMMUNICATION AND DEVICES	Advances in Intelligent Systems and Computing				1st International Conference on Intelligent Computing, Communication and Devices (ICCD)	APR 18-19, 2014	SOA Univ, Bhubaneswar, INDIA		SOA Univ							Naghibzadeh, Mahmoud/A-6796-2015	Naghibzadeh, Mahmoud/0000-0001-5550-5565												2194-5357	2194-5365	978-81-322-2008-4				2015	309						173	181		10.1007/978-81-322-2009-1_20							WOS:000380479900020						
C	Pham, PT; Nguyen, MH; Tran, DQ		Akagi, M; Nguyen, TT; Vu, DT; Phung, TN; Huynh, VN		Phuong Thanh Pham; Manh Hung Nguyen; Dinh Que Tran			Incorporation of Experience and Reference-Based Topic Trust with Interests in Social Network	ADVANCES IN INFORMATION AND COMMUNICATION TECHNOLOGY	Advances in Intelligent Systems and Computing				International Conference on Advances in Information and Communication Technology (ICTA)	DEC 12-13, 2016	Thai Nguyen, VIETNAM	Thai Nguyen Univ Informat & Commun Technol, Inst Informat Technol, Vietnam Acad Sci, Fengchia Univ, Japan Adv Inst Sci & Technol, National Chung Cheng Univ																					2194-5357	2194-5365	978-3-319-49073-1; 978-3-319-49072-4				2017	538						286	293		10.1007/978-3-319-49073-1_31							WOS:000404236200028						
C	Tellamekala, M; Rafi, SM		Sa, PK; Sahoo, MN; Murugappan, M; Wu, Y; Majhi, B		Tellamekala, Manikumar; Rafi, Shaik Mohammad			Band Power Tuning of Primary Motor Cortex EEG for Continuous Bimanual Movements	PROGRESS IN INTELLIGENT COMPUTING TECHNIQUES: THEORY, PRACTICE, AND APPLICATIONS, VOL 2	Advances in Intelligent Systems and Computing				4th International Conference on Advanced Computing, Networking and Informatics (ICACNI)	SEP 22-24, 2016	Natl Inst Technol Rourkela, Ctr Comp Vis & Pattern Recognit, Rourkela, INDIA	Joint Control Syst Soc & Instrumentat & Measurement Soc Chapter, IEEE Kolkata Sect, IEEE Commun Soc Calcutta Chapter, Govt India, CSIR Natl Aerosp Labs Aerosp Elect & Syst Div, Iowa State Univ, Dependable Comp & Networking Lab, Henan Univ Sci & Technol, Multimedia Content Secur Innovat Res Grp, Poznan Univ Technol Vis Lab	Natl Inst Technol Rourkela, Ctr Comp Vis & Pattern Recognit																				2194-5357	2194-5365	978-981-10-3376-6; 978-981-10-3375-9				2018	719						143	149		10.1007/978-981-10-3376-6_16							WOS:000453214400016						
C	Marcos, S; Pinillos, R; Garcia-Bermejo, JG; Zalama, E		Reis, LP; Moreira, AP; Lima, PU; Montano, L; MunozMartinez, V		Marcos, Samuel; Pinillos, Roberto; Gomez Garcia-Bermejo, Jaime; Zalama, Eduardo			Design of a Realistic Robotic Head Based on Action Coding System	ROBOT 2015: SECOND IBERIAN ROBOTICS CONFERENCE: ADVANCES IN ROBOTICS, VOL 2	Advances in Intelligent Systems and Computing				2nd Iberian Robotics Conference (ROBOT)	NOV 19-21, 2015	Lisbon, PORTUGAL	Portuguese Soc Robot, Spanish Soc Res & Dev Robot, CEA, Robot Themat Grp								Zalama, Eduardo/K-9332-2014; Marcos-Pablos, Samuel/A-7326-2019; Garcia-Bermejo, Jaime Gomez/L-4920-2014	Zalama, Eduardo/0000-0001-7283-5574; Marcos-Pablos, Samuel/0000-0003-3546-2822; Garcia-Bermejo, Jaime Gomez/0000-0003-4763-5356												2194-5357	2194-5365	978-3-319-27149-1; 978-3-319-27148-4				2016	418						423	434		10.1007/978-3-319-27149-1_33							WOS:000370653400033						
C	De Tre, G; Dziedzic, M; Van Britsom, D; Zadrozny, S		Angelov, P; Atanassov, KT; Doukovska, L; Hadjiski, M; Jotsov, V; Kacprzyk, J; Kasabov, N; Sotirov, S; Szmidt, E; Zadrozny, S		De Tre, Guy; Dziedzic, Mateusz; Van Britsom, Daan; Zadrozny, Slawomir			Dealing with Missing Information in Linguistic Summarization: A Bipolar Approach	INTELLIGENT SYSTEMS'2014, VOL 1: MATHEMATICAL FOUNDATIONS, THEORY, ANALYSES	Advances in Intelligent Systems and Computing				7th IEEE International Conference on Intelligent Systems (IEEE IS)	SEP 24-26, 2014	Warsaw, POLAND	Polish Acad Sci, Syst Res Inst, Polish Acad Sci, Dept IV Engn Sci, Ind Inst Automat & Measurements, Inst Elect & Elect Engineers, Poland Sect, Computat Intelligence Soc, Polish Operat & Syst Res Soc, Inst Elect Elect Engineers Syst, Man & Cybernet Soc, Inst Elect Elect Engineers Computat Intelligence Soc, Polish Neural Network Soc, Polish Assoc Artificial Intelligence, Inst Elect Elect Engineers								De Tre, Guy/C-6374-2014; Zadrozny, Slawomir/A-4278-2008	Zadrozny, Slawomir/0000-0002-6642-0927												2194-5357		978-3-319-11312-8				2015	322						57	68		10.1007/978-3-319-11313-5_6							WOS:000360172200006						
C	Dimitrov, D; Roeva, O		Angelov, P; Atanassov, KT; Doukovska, L; Hadjiski, M; Jotsov, V; Kacprzyk, J; Kasabov, N; Sotirov, S; Szmidt, E; Zadrozny, S		Dimitrov, Dimitar; Roeva, Olympia			Development of Generalized Net for Testing of Different Mathematical Models of E. coli Cultivation Process	INTELLIGENT SYSTEMS'2014, VOL 1: MATHEMATICAL FOUNDATIONS, THEORY, ANALYSES	Advances in Intelligent Systems and Computing				7th IEEE International Conference on Intelligent Systems (IEEE IS)	SEP 24-26, 2014	Warsaw, POLAND	Polish Acad Sci, Syst Res Inst, Polish Acad Sci, Dept IV Engn Sci, Ind Inst Automat & Measurements, Inst Elect & Elect Engineers, Poland Sect, Computat Intelligence Soc, Polish Operat & Syst Res Soc, Inst Elect Elect Engineers Syst, Man & Cybernet Soc, Inst Elect Elect Engineers Computat Intelligence Soc, Polish Neural Network Soc, Polish Assoc Artificial Intelligence, Inst Elect Elect Engineers								Roeva, Olympia/V-2341-2019; Dimitrov, Dimitar/K-8901-2017; Roeva, Olympia N./L-2471-2016	Roeva, Olympia/0000-0003-3848-5181; Dimitrov, Dimitar/0000-0002-6806-9501; Roeva, Olympia N./0000-0003-3848-5181												2194-5357		978-3-319-11312-8				2015	322						657	668		10.1007/978-3-319-11313-5_58							WOS:000360172200058						
C	Liang, H		Du, ZY		Liang, Hu			Design and Implementation of Visual C plus plus Based Digital Image Processing System	INTELLIGENCE COMPUTATION AND EVOLUTIONARY COMPUTATION	Advances in Intelligent Systems and Computing				International Conference of Intelligence Computation and Evolutionary Computation (ICEC 2012)	JUL 07, 2012	Wuhan, PEOPLES R CHINA	Informat Technol & Ind Engn Res Ctr																					2194-5357		978-3-642-31655-5				2013	180						209	214									WOS:000316302700031						
C	Yathav, J; Bailur, A; Goyal, AK; Abhinav		Modi, N; Verma, P; Trivedi, B		Yathav, Jayasubha; Bailur, Abhijith; Goyal, A. K.; Abhinav			miBEAT Based Continuous and Robust Biometric Identification System for On-the-Go Applications	PROCEEDINGS OF INTERNATIONAL CONFERENCE ON COMMUNICATION AND NETWORKS	Advances in Intelligent Systems and Computing				International Conference on Communication on Networks (COMNET)	FEB 19-20, 2016	Ahmedabad Management Assoc, Ahmedabad, INDIA	Comp Soc India, Ahmedabad Chapter, Div IV, Assoc Comp Machinery, Ahmedabad Chapter	Ahmedabad Management Assoc																				2194-5357	2194-5365	978-981-10-2750-5; 978-981-10-2749-9				2017	508						269	275		10.1007/978-981-10-2750-5_28							WOS:000426415300028						
C	Rajaselvi, VD; Kalyani, T; Thomas, DG		Krishnan, GSS; Lekshmi, RS; Bonato, A; Grana, M; Anitha, R; Kumar, MS		Rajaselvi, V. Devi; Kalyani, T.; Thomas, D. G.			Iso-Triangular Pictures and Recognizability	COMPUTATIONAL INTELLIGENCE, CYBER SECURITY AND COMPUTATIONAL MODELS	Advances in Intelligent Systems and Computing				International Conference on Computational Intelligence, Cyber Security, and Computational Models (ICC3)	DEC 19-21, 2013	Coimbatore, INDIA	PSG Coll Technol, Dept Appl Math & Computat Sci								T, Kalyani/ABD-3127-2020; G.S., Rampradheep/AAL-4572-2020	G.S., Rampradheep/0000-0001-9298-3216												2194-5357		978-81-322-1680-3; 978-81-322-1679-7				2014	246						313	319		10.1007/978-81-322-1680-3_34							WOS:000350553200033						
C	Vu, HM; Thang, HV		Bhateja, V; LeNguyen, B; Nguyen, NG; Satapathy, SC; Le, DN		Huynh Minh Vu; Huynh Viet Thang			A Customized Hardware Architecture for Multi-layer Artificial Neural Networks on FPGA	INFORMATION SYSTEMS DESIGN AND INTELLIGENT APPLICATIONS, INDIA 2017	Advances in Intelligent Systems and Computing				4th International Conference on Information Systems Design and Intelligent Applications (INDIA)	JUN 15-17, 2017	Duy Tan Univ, Da Nang, VIETNAM		Duy Tan Univ																				2194-5357	2194-5365	978-981-10-7512-4; 978-981-10-7511-7				2018	672						637	644		10.1007/978-981-10-7512-4_63							WOS:000456194600063						
C	Ignat, A; Luca, M		Balas, VE; Jain, LC; Kovacevic, B		Ignat, Anca; Luca, Mihaela			Rotation Invariant Texture Retrieval Using Dual Tree Complex Wavelet Transform	SOFT COMPUTING APPLICATIONS, (SOFA 2014), VOL 2	Advances in Intelligent Systems and Computing				6th International Workshop on Soft Computing Applications (SOFA)	JUL 24-26, 2014	Timisoara, ROMANIA	Univ Belgrade																					2194-5357	2194-5365	978-3-319-18416-6; 978-3-319-18415-9				2016	357		2				903	911		10.1007/978-3-319-18416-6_71							WOS:000452854600015						
C	Burduk, R		Wilinski, A; ElFray, I; Pejas, J		Burduk, Robert			Method of Static Classifiers Selection Using the Weights of Base Classifiers	SOFT COMPUTING IN COMPUTER AND INFORMATION SCIENCE	Advances in Intelligent Systems and Computing				19th International Multiconference on Advanced Computer Systems	OCT 22-24, 2014	W Pomeranian Univ Technol, Fac Comp Sci, Miedzyzdroje, POLAND	AGH Univ Sci & Technol, Fac Phys & Appl Comp Sci, Ehime Univ, Polish Acad Sci IPI PAN	W Pomeranian Univ Technol, Fac Comp Sci																				2194-5357		978-3-319-15147-2; 978-3-319-15146-5				2015	342						85	94		10.1007/978-3-319-15147-2_8							WOS:000380774200008						
C	Cui, LZ; Jin, YY; Lu, N		Wen, Z; Li, T		Cui, Laizhong; Jin, Yuanyuan; Lu, Nan			The Research on Trust Computation Model for C2C e-Commerce	FOUNDATIONS OF INTELLIGENT SYSTEMS (ISKE 2013)	Advances in Intelligent Systems and Computing				8th International Conference on Intelligent Systems and Knowledge Engineering (ISKE)	NOV 20-23, 2013	Shenzhen, PEOPLES R CHINA	Shenzhen Univ, Sci China Press, Chinese Acad Sci, IEEE Computat Intelligence Soc, Chinese Assoc Artificial Intelligence, State Key Lab Complex Elect Syst Simulat, Sci & Technol Integrated Informat Syst Lab, SW Jiaotong Univ, Univ Technol								Cui, Laizhong/AAX-9571-2020													2194-5357		978-3-642-54924-3; 978-3-642-54923-6				2014	277						371	381		10.1007/978-3-642-54924-3_35							WOS:000349457000035						
C	Zou, YL; Li, C; Boukhers, Z; Shirahama, K; Jiang, T; Grzegorzek, M		Burduk, R; Jackowski, K; Kurzynski, M; Wozniak, M; Zolnierek, A		Zou, Yan Ling; Li, Chen; Boukhers, Zeyd; Shirahama, Kimiaki; Jiang, Tao; Grzegorzek, Marcin			Environmental Microbiological Content-Based Image Retrieval System Using Internal Structure Histogram	PROCEEDINGS OF THE 9TH INTERNATIONAL CONFERENCE ON COMPUTER RECOGNITION SYSTEMS, CORES 2015	Advances in Intelligent Systems and Computing				9th International Conference on Computer Recognition Systems (CORES)	MAY 25-27, 2015	Wroclaw, POLAND	Wroclaw Univ Technol, Dept Syst & Comp Networks								Grzegorzek, Marcin/AAF-1647-2021; Boukhers, Zeyd/U-3800-2019	Grzegorzek, Marcin/0000-0003-4877-8287												2194-5357	2194-5365	978-3-319-26227-7; 978-3-319-26225-3				2016	403						543	552		10.1007/978-3-319-26227-7_51							WOS:000408649300051						
C	Elhadj, YOM; Zemirli, Z; Ayyadi, K		Abraham, A; Thampi, SM		Elhadj, Yahya O. Mohamed; Zemirli, Zouhir; Ayyadi, Kamel			Development of a Bilingual Parallel Corpus of Arabic and Saudi Sign Language: Part I	INTELLIGENT INFORMATICS	Advances in Intelligent Systems and Computing				1st International Symposium on Intelligent Informatics (ISI 12)	AUG 04-05, 2012	RMK Engn Coll, Chennai, INDIA	Steinbeis Innovat Ctr, Hochschule Offenburg, NASSCOM, INNS, India Reg Chapter, ISCA, CiSi, SPIN, IEEE, Syst Man & Cybernet Soc, MIR Lab	RMK Engn Coll																				2194-5357		978-3-642-32062-0				2013	182						285	295									WOS:000315536100030						
C	Silva, A; Varajao, J; Pinto, CS; Sa, JOE		Rocha, A; Correia, AM; Adeli, H; Reis, LP; Costanzo, S		Silva, Antonio; Varajao, Joao; Pinto, Carlos Sousa; Oliveira e Sa, Jorge			Who Can Assess HR Performance in IT/IS Projects: A Review	RECENT ADVANCES IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 1	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	APR 11-13, 2017	Madeira, PORTUGAL									Novais, Paulo/M-4053-2013; e, Jorge V Oliveira/B-7176-2012; Varajao, Joao/I-9439-2012	Novais, Paulo/0000-0002-3549-0754; e, Jorge V Oliveira/0000-0003-4095-3431; Sousa Pinto, Carlos/0000-0002-5399-5158; Varajao, Joao/0000-0002-4303-3908												2194-5357	2194-5365	978-3-319-56535-4; 978-3-319-56534-7				2017	569						779	789		10.1007/978-3-319-56535-4_76							WOS:000425543100076						
