PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
C	Russo, D		Ciancarini, P; Sillitti, A; Succi, G; Messina, A		Russo, Daniel			Benefits of Open Source Software in Defense Environments	PROCEEDINGS OF 4TH INTERNATIONAL CONFERENCE IN SOFTWARE ENGINEERING FOR DEFENCE APPLICATIONS, SEDA 2015	Advances in Intelligent Systems and Computing				4th International Conference in Software Engineering for Defence Applications (SEDA)	MAY 26-27, 2015	Rome, ITALY									Russo, Daniel/O-3002-2019	Russo, Daniel/0000-0001-7253-101X												2194-5357	2194-5365	978-3-319-27896-4; 978-3-319-27894-0				2016	422						123	131		10.1007/978-3-319-27896-4_11							WOS:000377542800011						
C	Maurya, L; Mahapatra, PK; Saini, G		Das, S; Pal, T; Kar, S; Satapathy, SC; Mandal, JK		Maurya, Lalit; Mahapatra, Prasant Kumar; Saini, Garima			Modified Cuckoo Search-Based Image Enhancement	PROCEEDINGS OF THE 4TH INTERNATIONAL CONFERENCE ON FRONTIERS IN INTELLIGENT COMPUTING: THEORY AND APPLICATIONS (FICTA) 2015	Advances in Intelligent Systems and Computing				4th International Conference on Frontiers in Intelligent Computing - Theory and Applications (FICTA)	NOV 16-18, 2015	Durgapur, INDIA	Natl Inst Technol, IEEE Computat Intelligence Soc, Kolkata Chapter, Govt India, Dept Sci & Technol								Maurya, Lalit/AAR-6051-2021	Maurya, Lalit/0000-0003-2234-8692												2194-5357	2194-5365	978-81-322-2695-6; 978-81-322-2693-2				2016	404						625	634		10.1007/978-81-322-2695-6_53							WOS:000371332400053						
C	Malinowski, A; Czarnul, P; Maciejewski, M; Skowron, P		Grzech, A; Swiatek, J; Wilimowska, Z; Borzemski, L		Malinowski, Artur; Czarnul, Pawel; Maciejewski, Maciej; Skowron, Pawel			A Fail-Safe NVRAM Based Mechanism for Efficient Creation and Recovery of Data Copies in Parallel MPI Applications	INFORMATION SYSTEMS ARCHITECTURE AND TECHNOLOGY - ISAT 2016 - PT II	Advances in Intelligent Systems and Computing				37th International Conference on Information Systems Architecture and Technology (ISAT)	SEP 18-20, 2016	Karpacz, POLAND	Wroclaw Univ Sci & Technol, Dept Comp Sci, Wroclaw Univ Sci & Technol, Dept Management Syst								Malinowski, Artur/C-7428-2017	Malinowski, Artur/0000-0001-6166-7982; Czarnul, Pawel/0000-0002-4918-9196												2194-5357	2194-5365	978-3-319-46586-9; 978-3-319-46585-2				2017	522						137	147		10.1007/978-3-319-46586-9_11							WOS:000392269300011						
C	Gruzenkin, DV; Grishina, GV; Durmus, MS; Ustoglu, I; Tsarev, RY		Silhavy, R; Silhavy, P; Prokopova, Z; Senkerik, R; Oplatkova, ZK		Gruzenkin, Denis Vladimirovich; Grishina, Galina Viktorovna; Durmus, Mustafa Seckin; Ustoglu, Ilker; Tsarev, Roman Yurievich			Compensation Model of Multi-attribute Decision Making and Its Application to N-Version Software Choice	SOFTWARE ENGINEERING TRENDS AND TECHNIQUES IN INTELLIGENT SYSTEMS, CSOC2017, VOL 3	Advances in Intelligent Systems and Computing				6th Computer Science On-Line Conference (CSOC)	APR, 2017	Zlin, CZECH REPUBLIC	OpenPublish eu s r o								Ustoglu, Ilker/ABI-5456-2020; Tsarev, Roman Yu/A-1924-2014; Gruzenkin, Denis/AAH-2534-2019	Ustoglu, Ilker/0000-0003-3192-2246; Tsarev, Roman Yu/0000-0002-6740-1840; Gruzenkin, Denis/0000-0002-6954-8870; Durmus, Mustafa Seckin/0000-0003-3891-2817												2194-5357	2194-5365	978-3-319-57141-6				2017	575						148	157		10.1007/978-3-319-57141-6_16							WOS:000405338500016						
C	Gkioulos, V; Wolthusen, SD		Barolli, L; Terzo, O		Gkioulos, Vasileios; Wolthusen, Stephen D.			Security Infrastructure for Service Oriented Architectures at the Tactical Edge	COMPLEX, INTELLIGENT, AND SOFTWARE INTENSIVE SYSTEMS, CISIS-2017	Advances in Intelligent Systems and Computing				11th International Conference on Complex, Intelligent, and Software Intensive Systems (CISIS)	JUL 10-12, 2017	Ist Superiore Mario Boella, Torino, ITALY		Ist Superiore Mario Boella																				2194-5357	2194-5365	978-3-319-61566-0; 978-3-319-61565-3				2018	611						310	322		10.1007/978-3-319-61566-0_29							WOS:000432998800029						
C	dos Santos, C; Botura, G		Stanton, NA		dos Santos, Claudemilson; Botura, Galdenoro, Jr.			Proposal of Ergonomic Intervention in Horizontal Traffic Signaling	ADVANCES IN HUMAN ASPECTS OF TRANSPORTATION	Advances in Intelligent Systems and Computing				AHFE International Conference on Human Factors in Transportation	JUL 17-21, 2017	Los Angeles, CA									Santos, Claudemilson dos/M-7093-2019; Botura, Galdenoro/K-1449-2015	Santos, Claudemilson dos/0000-0001-6681-9359; Botura, Galdenoro/0000-0002-5680-6017												2194-5357	2194-5365	978-3-319-60441-1; 978-3-319-60440-4				2018	597						1121	1130		10.1007/978-3-319-60441-1_105							WOS:000448241200105						
C	Tshiningayamwe, L; Lusilao-Zodi, GA; Dlodlo, ME		Pillay, N; Engelbrecht, AP; Abraham, A; DuPlessis, MC; Snasel, V; Muda, AK		Tshiningayamwe, Loini; Lusilao-Zodi, Guy-Alain; Dlodlo, Mqhele E.			A Priority Rate-Based Routing Protocol for Wireless Multimedia Sensor Networks	ADVANCES IN NATURE AND BIOLOGICALLY INSPIRED COMPUTING	Advances in Intelligent Systems and Computing				7th World Congress on Nature and Biologically Inspired Computing (NaBIC)	DEC 01-03, 2015	Pietermaritzburg, SOUTH AFRICA										Dlodlo, Mqhele/0000-0003-2364-2957												2194-5357	2194-5365	978-3-319-27400-3; 978-3-319-27399-0				2016	419						347	358		10.1007/978-3-319-27400-3_31							WOS:000381882900031						
C	Tomczak, SK; Wilimowska, Z		Wilimowska, Z; Borzemski, L; Grzech, A; Swiatek, J		Tomczak, Sebastian Klaudiusz; Wilimowska, Zofia			Testing the Probability Distribution of Financial Ratios	INFORMATION SYSTEMS ARCHITECTURE AND TECHNOLOGY, PT IV	Advances in Intelligent Systems and Computing				36th International Conference on Information Systems Architecture and Technology (ISAT)	SEP 20-22, 2015	Karpacz, POLAND	Wroclaw Univ Technol, Fac Comp Sci & Management, Dept Comp Sci, Wroclaw Univ Technol, Fac Comp Sci & Management, Dept Management Syst									Tomczak, Sebastian/0000-0003-3528-3533												2194-5357	2194-5365	978-3-319-28567-2; 978-3-319-28565-8				2016	432						75	84		10.1007/978-3-319-28567-2_7							WOS:000378487400007						
C	Mihajlov, M; Stojmenski, A		Stojanov, G; Kulakov, A		Mihajlov, Martin; Stojmenski, Aleksandar			Internet Addiction: Evaluating the Psychometric Properties of the IAT in Macedonia	ICT INNOVATIONS 2016: COGNITIVE FUNCTIONS AND NEXT GENERATION ICT SYSTEMS	Advances in Intelligent Systems and Computing				ICT Innovations Conference on Cognitive Functions and Next Generation ICT Systems	SEP 05-07, 2016	Ohrid, MACEDONIA	Macedonian Soc Informat & Commun Technologies, Univ Ss Cyril & Methodius, Fac Comp Sci & Engn								Mihajlov, Martin/A-3743-2011	Mihajlov, Martin/0000-0003-3400-4723												2194-5357	2194-5365	978-3-319-68855-8; 978-3-319-68854-1				2018	665						165	172		10.1007/978-3-319-68855-8_16							WOS:000448429600016						
C	Gashkov, S; Frolov, A		Zamojski, W; Mazurkiewicz, J; Sugier, J; Walkowiak, T; Kacprzyk, J		Gashkov, Sergey; Frolov, Alexander			Comparative Analysis of Calculations in Cryptographic Protocols Using a Combination of Different Bases of Finite Fields	ADVANCES IN DEPENDABILITY ENGINEERING OF COMPLEX SYSTEMS	Advances in Intelligent Systems and Computing				12th International Conference on Dependability and Complex Systems (DepCoS-RELCOMEX)	JUL 02-06, 2017	Brunow, POLAND	Wroclaw Univ Sci & Technol, Dept Comp Engn																					2194-5357	2194-5365	978-3-319-59415-6; 978-3-319-59414-9				2018	582						166	177		10.1007/978-3-319-59415-6_16							WOS:000441189200016						
C	Mudaliar, DN; Modi, NK		Suresh, LP; Dash, SS; Panigrahi, BK		Mudaliar, Devasenathipathi N.; Modi, Nilesh K.			Implementation of Generative Crossover Operator in Genetic Algorithm to Solve Traveling Salesman Problem	ARTIFICIAL INTELLIGENCE AND EVOLUTIONARY ALGORITHMS IN ENGINEERING SYSTEMS, VOL 1	Advances in Intelligent Systems and Computing				International Conference on Artificial Intelligence and Evolutionary Algorithms in Engineering Systems (ICAEES)	APR 22-23, 2014	Noorul Islam Univ, Noorul Islam Ctr Higher Educ, Kumaracoil, INDIA		Noorul Islam Univ, Noorul Islam Ctr Higher Educ							Modi, Nilesh/AAO-6937-2021	Modi, Nilesh/0000-0002-1763-9893												2194-5357		978-81-322-2126-5; 978-81-322-2125-8				2015	324						47	53		10.1007/978-81-322-2126-5_6							WOS:000357781400006						
C	Singh, VK; Maindolia, A; Singh, A; Bhardwaj, S; Yadav, BP		Singh, R; Choudhury, S; Gehlot, A		Singh, Vishal Kumar; Maindolia, Ashish; Singh, Abhishek; Bhardwaj, Shubham; Yadav, Bikarama Prasad			Integrated Sensors for Risk Assessment in Industries and Residential Sectors: A Review	INTELLIGENT COMMUNICATION, CONTROL AND DEVICES, ICICCD 2017	Advances in Intelligent Systems and Computing				2nd International Conference on Intelligent Communication, Control and Devices (ICICCD)	APR 15-16, 2017	Dehradun, INDIA	Univ Petr & Energy Studies Engn, Dept Elect, Instrumentat & Control Engn								Yadav, Bikarama Prasad/X-5568-2019; Singh, Vishal Kumar/ABI-7039-2020	Yadav, Bikarama Prasad/0000-0003-2349-1562; 												2194-5357	2194-5365	978-981-10-5903-2; 978-981-10-5902-5				2018	624						411	417		10.1007/978-981-10-5903-2_42							WOS:000553697500042						
C	Netto, D; Silva, C		Rocha, A; Correia, AM; Adeli, H; Reis, LP; Teixeira, MM		Netto, Dorgival; Silva, Carla			Promoting Modularity in a Requirements Engineering Process for Software Product Lines	NEW ADVANCES IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 1	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	MAR 22-24, 2016	Recife, BRAZIL																						2194-5357	2194-5365	978-3-319-31232-3; 978-3-319-31231-6				2016	444						599	608		10.1007/978-3-319-31232-3_56							WOS:000417258700056						
C	Zhou, B; Singh, MS; Yildirim, M; Prifti, I; Zurian, HC; Yuncosa, YM; Lukowicz, P		Ahram, T; Falcao, C		Zhou, Bo; Singh, Monit Shah; Yildirim, Muhammet; Prifti, Ivi; Zurian, Heber Cruz; Yuncosa, Yorman Munoz; Lukowicz, Paul			Smart Blanket: A Real-Time User Posture Sensing Approach for Ergonomic Designs	ADVANCES IN USABILITY AND USER EXPERIENCE, AHFE 2017	Advances in Intelligent Systems and Computing				International Conference on Usability and User Experience/8th International Conference on Applied Human Factors and Ergonomics (AHFE)/International Conference on Human Factors in Training, Education, and Learning Sciences	JUL 17-21, 2017	Los Angeles, CA																						2194-5357	2194-5365	978-3-319-60492-3; 978-3-319-60491-6				2018	607						193	204		10.1007/978-3-319-60492-3_19							WOS:000449661400019						
C	Shreekant, K; Sharma, P; Hak, S; Pani, S		Singh, R; Choudhury, S; Gehlot, A		Shreekant, K.; Sharma, Parth; Hak, Sindhu; Pani, Shuchismita			Threshold Sensitive Modified Leach Protocol for Energy Saving in Wireless Sensor Network	INTELLIGENT COMMUNICATION, CONTROL AND DEVICES, ICICCD 2017	Advances in Intelligent Systems and Computing				2nd International Conference on Intelligent Communication, Control and Devices (ICICCD)	APR 15-16, 2017	Dehradun, INDIA	Univ Petr & Energy Studies Engn, Dept Elect, Instrumentat & Control Engn								Gupta, Sindhu Hak/ABH-8530-2020	Gupta, Sindhu Hak/0000-0002-0977-4809												2194-5357	2194-5365	978-981-10-5903-2; 978-981-10-5902-5				2018	624						1207	1213		10.1007/978-981-10-5903-2_126							WOS:000553697500126						
C	Karthikeyan, A; Srividhya, V; Gupta, P; Rai, N		Choudhary, RK; Mandal, JK; Auluck, N; Nagarajaram, HA		Karthikeyan, A.; Srividhya, V.; Gupta, Pranjay; Rai, Naveen			A Hybrid Approach for Simultaneous Compression and Encryption of an Image in Wireless Media Sensor Networks	ADVANCED COMPUTING AND COMMUNICATION TECHNOLOGIES	Advances in Intelligent Systems and Computing				9th International Conference on Advanced Computing and Communication Technologies (ICACCT)	NOV 28-29, 2015	Asia Pacific Inst Informat Technol, Panipat, INDIA	Inst Elect & Telecommunicat Engineers, Comp Soc India	Asia Pacific Inst Informat Technol							ANBALAGAN, KARTHIKEYAN/R-1629-2019; srividhya, venkatasubramanian/N-6262-2019; venkatasubramanian, srividhya/N-6275-2019	srividhya, venkatasubramanian/0000-0001-9911-8671; A, Karthikeyan/0000-0001-7805-5739												2194-5357	2194-5365	978-981-10-1023-1; 978-981-10-1021-7				2016	452						475	484		10.1007/978-981-10-1023-1_47							WOS:000387180900047						
C	Biswas, P; Shabnam, S; Paul, A; Bhattacharya, P		Dash, SS; Bhaskar, MA; Panigrahi, BK; Das, S		Biswas, Prantik; Shabnam, Shahin; Paul, Abhisek; Bhattacharya, Paritosh			A Cycle Detection-Based Efficient Approach for Constructing Spanning Trees Directly from Nonregular Graphic Sequences	ARTIFICIAL INTELLIGENCE AND EVOLUTIONARY COMPUTATIONS IN ENGINEERING SYSTEMS, ICAIECES 2015	Advances in Intelligent Systems and Computing				International Conference on Artificial Intelligence and Evolutionary Computations in Engineering Systems (ICAIECES)	APR 22-23, 2015	Velammal Engn Coll, Chennai, INDIA		Velammal Engn Coll							Paul, Abhisek/U-4659-2019	Paul, Abhisek/0000-0003-0311-046X												2194-5357		978-81-322-2656-7; 978-81-322-2654-3				2016	394						97	109		10.1007/978-81-322-2656-7_10							WOS:000371315700010						
C	Prathibhamol, CP; Ashok, A		Thampi, SM; Bandyopadhyay, S; Krishnan, S; Li, KC; Mosin, S; Ma, M		Prathibhamol, C. P.; Ashok, Asha			Solving Multi Label Problems with Clustering and Nearest Neighbor by Consideration of Labels	ADVANCES IN SIGNAL PROCESSING AND INTELLIGENT RECOGNITION SYSTEMS (SIRS-2015)	Advances in Intelligent Systems and Computing				2nd International Symposium on Signal Processing and Intelligent Recognition Systems (SIRS)	DEC 16-19, 2015	Trivandrum, INDIA	Indian Inst Informat Technol & Management, ACM, Trivandrum Chapter, Int Neural Networks Soc India, Reg Chapter, TECHNOPARK, IUPRAI																					2194-5357	2194-5365	978-3-319-28658-7; 978-3-319-28656-3				2016	425						511	520		10.1007/978-3-319-28658-7_43							WOS:000384639900043						
C	Rahman, SA; Beg, MMS		Choudhary, RK; Mandal, JK; Auluck, N; Nagarajaram, HA		Rahman, Sheikh Amanur; Beg, M. M. Sufyan			A Novel Approach of Aspect Ranking Based on Intrinsic and Extrinsic Domain Relevance	ADVANCED COMPUTING AND COMMUNICATION TECHNOLOGIES	Advances in Intelligent Systems and Computing				9th International Conference on Advanced Computing and Communication Technologies (ICACCT)	NOV 28-29, 2015	Asia Pacific Inst Informat Technol, Panipat, INDIA	Inst Elect & Telecommunicat Engineers, Comp Soc India	Asia Pacific Inst Informat Technol							Freienberg, Selina/AAV-8829-2021													2194-5357	2194-5365	978-981-10-1023-1; 978-981-10-1021-7				2016	452						485	492		10.1007/978-981-10-1023-1_48							WOS:000387180900048						
C	da Cunha, JA; Moura, E; Analide, C		Rocha, A; Correia, AM; Adeli, H; Reis, LP; Teixeira, MM		da Cunha, Jose Antonio; Moura, Elionai; Analide, Cesar			Data Mining in Academic Databases to Detect Behaviors of Students Related to School Dropout and Disapproval	NEW ADVANCES IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 2	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	MAR 22-24, 2016	Recife, BRAZIL									Cordeiro, Elionai Moura/E-5226-2016; Analide, Cesar/N-2465-2013	Cordeiro, Elionai Moura/0000-0003-4605-1949; Analide, Cesar/0000-0002-7796-644X												2194-5357	2194-5365	978-3-319-31307-8; 978-3-319-31306-1				2016	445						189	198		10.1007/978-3-319-31307-8_19							WOS:000417260200019						
C	Phyo, ZL		Zin, TT; Lin, JCW; Pan, JS; Tin, P; Yokota, M		Phyo, Zar Lwin			SLA Guaranteed Migration Decision Model Using MCDM Approach	GENETIC AND EVOLUTIONARY COMPUTING, VOL I	Advances in Intelligent Systems and Computing				9th International Conference on Genetic and Evolutionary Computing (ICGEC)	AUG 26-28, 2015	Univ Comp Studies, Yangon, MYANMAR	Springer, Minist Sci & Technol, Univ Miyazaki, Kaohsiung Univ Appl Sci, Fujian Univ Technol, Tech Univ Ostrava	Univ Comp Studies																				2194-5357		978-3-319-23204-1; 978-3-319-23203-4				2016	387						369	379		10.1007/978-3-319-23204-1_37							WOS:000381803800037						
C	Lopes, M; Sarwade, N		Satapathy, SC; Mandal, JK; Udgata, SK; Bhateja, V		Lopes, Minal; Sarwade, Nisha			Modeling and Performance Analysis of Free Space Quantum Key Distribution	INFORMATION SYSTEMS DESIGN AND INTELLIGENT APPLICATIONS, VOL 3, INDIA 2016	Advances in Intelligent Systems and Computing				3rd International Conference on Information System Design and Intelligent Applications (INDIA)	JAN 08-09, 2016	ANITS Campus, Visakhapatnam, INDIA	Anil Neerukonda Inst Technol & Sci, Det CSE, ANITS CSI Student Branch	ANITS Campus																				2194-5357	2194-5365	978-81-322-2757-1; 978-81-322-2756-4				2016	435						27	40		10.1007/978-81-322-2757-1_4							WOS:000373011500004						
C	Nayak, SP; Rai, SC; Pradhan, S		Behera, HS; Mohapatra, DP		Nayak, Samaleswari Pr.; Rai, S. C.; Pradhan, Sipali			A Multi-clustering Approach to Achieve Energy Efficiency Using Mobile Sink in WSN	COMPUTATIONAL INTELLIGENCE IN DATA MINING, CIDM 2016	Advances in Intelligent Systems and Computing				3rd International Conference on Computational Intelligence in Data Mining (ICCIDM)	DEC 10-11, 2016	Bhubaneswar, INDIA	Kalinga Inst Ind Technol																					2194-5357	2194-5365	978-981-10-3874-7; 978-981-10-3873-0				2017	556						793	801		10.1007/978-981-10-3874-7_75							WOS:000432203900075						
C	Sirisha, GNVG; Shashi, M		Das, S; Pal, T; Kar, S; Satapathy, SC; Mandal, JK		Sirisha, G. N. V. G.; Shashi, M.			Mining Closed Interesting Subspaces to Discover Conducive Living Environment of Migratory Animals	PROCEEDINGS OF THE 4TH INTERNATIONAL CONFERENCE ON FRONTIERS IN INTELLIGENT COMPUTING: THEORY AND APPLICATIONS (FICTA) 2015	Advances in Intelligent Systems and Computing				4th International Conference on Frontiers in Intelligent Computing - Theory and Applications (FICTA)	NOV 16-18, 2015	Durgapur, INDIA	Natl Inst Technol, IEEE Computat Intelligence Soc, Kolkata Chapter, Govt India, Dept Sci & Technol								gadiraju, sirisha N V G/Q-2175-2016	gadiraju, sirisha N V G/0000-0002-7710-927X												2194-5357	2194-5365	978-81-322-2695-6; 978-81-322-2693-2				2016	404						153	166		10.1007/978-81-322-2695-6_14							WOS:000371332400014						
C	Vanus, J; Kucera, P; Koziorek, J		Silhavy, R; Senkerik, R; Oplatkova, ZK; Silhavy, P; Prokopova, Z		Vanus, Jan; Kucera, Pavel; Koziorek, Jiri			Visualization Software Designed to Control Operational and Technical Functions in Smart Homes	MODERN TRENDS AND TECHNIQUES IN COMPUTER SCIENCE (CSOC 2014)	Advances in Intelligent Systems and Computing				3rd Computer Science On-line Conference (CSOC)	APR, 2014	ELECTR NETWORK									Koziorek, Jiri/C-6211-2016	Koziorek, Jiri/0000-0002-7138-887X												2194-5357		978-3-319-06740-7				2014	285						559	569		10.1007/978-3-319-06740-7_48							WOS:000370620000048						
C	Nobell, AA; Yaguache, JJ; Paladines, GF		Rocha, A; Correia, AM; Adeli, H; Reis, LP; Teixeira, MM		Alvarez Nobell, Alejandro; Yaguache, Jenny J.; Fanny Paladines, G.			Public Relations in Ecuador: exploratory and descriptive research about career development	NEW ADVANCES IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 2	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	MAR 22-24, 2016	Recife, BRAZIL										Alvarez Nobell, Alejandro/0000-0003-1384-3544												2194-5357	2194-5365	978-3-319-31307-8; 978-3-319-31306-1				2016	445						761	770		10.1007/978-3-319-31307-8_77							WOS:000417260200077						
C	Garnica, JJC; Arrieta, MAG		Omatu, S; Bersini, H; Corchado, JM; Rodriguez, S; Pawlewski, P; Bucciarelli, E		Cadenanes Garnica, Jorge Jonathan; Gonzalez Arrieta, Maria Angelica			Augmented Reality Sign Language Teaching Model for Deaf Children	DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE, 11TH INTERNATIONAL CONFERENCE	Advances in Intelligent Systems and Computing				11th International Symposium on Distributed Computing and Artificial Intelligence (DCAI)	JUN 04-06, 2014	Salamanca, SPAIN	Univ Salamanca, Bioinformat, Intelligent Syst & Educ Technol Res Grp, Ingn Software Avanzado S A, IBM, ICyL, IEEE Syst Man & Cybernet Soc Spain, Asociac Espanola Inteligencia Artificial, Assoc Portuguesa Para Inteligencia Artificial, Ctr Natl Rech Sci, Minist Economia & Competitividad																					2194-5357		978-3-319-07593-8; 978-3-319-07592-1				2014	290						351	358		10.1007/978-3-319-07593-8_41							WOS:000342905800041						
C	Kang, K; Stubberud, P		Selvaraj, H; Zydek, D; Chmaj, G		Kang, Kyung; Stubberud, Peter			Stability Analysis of Continuous Time Sigma Delta Modulators	PROGRESS IN SYSTEMS ENGINEERING	Advances in Intelligent Systems and Computing				23rd International Conference on Systems Engineering	AUG 19-21, 2014	Las Vegas, NV	Univ Nevada Las Vegas, ALDEC, NVEnergy																					2194-5357	2194-5365	978-3-319-08421-3				2015	366						487	493		10.1007/978-3-319-08422-0_71							WOS:000360214900071						
C	De Blasiis, MR; Ferrante, C; Santilli, A; Veraldi, V		Stanton, NA; Landry, S; DiBucchianico, G; Vallicelli, A		De Blasiis, Maria Rosaria; Ferrante, Chiara; Santilli, Antonella; Veraldi, Valerio			Driving Behavior in Weaving Maneuver: A Driving Simulator Study	ADVANCES IN HUMAN ASPECTS OF TRANSPORTATION	Advances in Intelligent Systems and Computing				International Conference on Human Factors in Transportation	JUL 27-31, 2016	FL									De Blasiis, Maria Rosaria/F-4576-2015	Ferrante, Chiara/0000-0001-8294-634X; DE BLASIIS, Maria Rosaria Michelina/0000-0001-9696-5947												2194-5357		978-3-319-41682-3; 978-3-319-41681-6				2017	484						313	325		10.1007/978-3-319-41682-3_27							WOS:000390836900027						
C	Kasim, S; Azahar, UA; Samsudin, NA; Fudzee, MFM; Mahdin, H; Ramli, AA; Suparjoh, S		Herawan, T; Ghazali, R; Nawi, NM; Deris, MM		Kasim, Shahreen; Azahar, Ummi Aznazirah; Samsudin, Noor Azah; Fudzee, Mohd Farhan Md; Mahdin, Hairulnizam; Ramli, Azizul Azhar; Suparjoh, Suriawati			E-Code Checker Application	RECENT ADVANCES ON SOFT COMPUTING AND DATA MINING	Advances in Intelligent Systems and Computing				2nd International Conference on Soft Computing and Data Mining (SCDM)	AUG 18-20, 2016	Bandung, INDONESIA									Kasim, Shahreen/AAR-1876-2021; /AAS-6509-2021; ramli, azizul azhar/E-2456-2013; Mahdin, Hairulnizam/AAX-9755-2020; Fudzee, Mohd Farhan Md/J-1404-2017	/0000-0002-2275-0094; Md Fudzee, Mohd Farhan/0000-0002-6801-2660; Ramli, Azizul Azhar/0000-0001-7742-5929												2194-5357	2194-5365	978-3-319-51281-5; 978-3-319-51279-2				2017	549						570	578		10.1007/978-3-319-51281-5_57							WOS:000416517100057						
C	Garcia, JE; Paiva, ACR		Rocha, A; Correia, AM; Adeli, H; Reis, LP; Teixeira, MM		Garcia, Jorge Esparteiro; Paiva, Ana C. R.			An Automated Approach for Requirements Specification Maintenance	NEW ADVANCES IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 1	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	MAR 22-24, 2016	Recife, BRAZIL									Garcia, Jorge Esparteiro/C-7694-2016; Paiva, Ana/B-1136-2014	Garcia, Jorge Esparteiro/0000-0001-5710-5557; Paiva, Ana/0000-0003-3431-8060												2194-5357	2194-5365	978-3-319-31232-3; 978-3-319-31231-6				2016	444						827	833		10.1007/978-3-319-31232-3_78							WOS:000417258700078						
C	Brandao, C; Henrique, C; Miguez, J		Rocha, A; Correia, AM; Adeli, H; Reis, LP; Teixeira, MM		Brandao, Catarina; Henrique, Claudia; Miguez, Jose			Building a Relationship with the Supervisor: An Exploratory Study	NEW ADVANCES IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 2	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	MAR 22-24, 2016	Recife, BRAZIL									Tabares, Jose Luis Miguez/L-5631-2017; Brandao, Catarina/N-3611-2013	Tabares, Jose Luis Miguez/0000-0003-3929-9233; Brandao, Catarina/0000-0002-4305-5605												2194-5357	2194-5365	978-3-319-31307-8; 978-3-319-31306-1				2016	445						677	687		10.1007/978-3-319-31307-8_69							WOS:000417260200069						
C	Solano, A; Ugalde, F; Gomez, J; Sanchez, L		Ahram, T; Falcao, C		Solano, Andres; Ugalde, Fabian; Gomez, Juan; Sanchez, Luis			An Augmented Reality Application to Enhance the Children's Engagement in an Early Development Method for Mathematics Literacy	ADVANCES IN USABILITY AND USER EXPERIENCE, AHFE 2017	Advances in Intelligent Systems and Computing				International Conference on Usability and User Experience/8th International Conference on Applied Human Factors and Ergonomics (AHFE)	JUL 17-21, 2017	Los Angeles, CA																						2194-5357	2194-5365	978-3-319-60492-3; 978-3-319-60491-6				2018	607						405	414		10.1007/978-3-319-60492-3_39							WOS:000449661400039						
C	Bharathula, P; Menon, NM		Das, S; Pal, T; Kar, S; Satapathy, SC; Mandal, JK		Bharathula, Pavani; Menon, N. Mridula			Equitable Machine Learning Algorithms to Probe Over P2P Botnets	PROCEEDINGS OF THE 4TH INTERNATIONAL CONFERENCE ON FRONTIERS IN INTELLIGENT COMPUTING: THEORY AND APPLICATIONS (FICTA) 2015	Advances in Intelligent Systems and Computing				4th International Conference on Frontiers in Intelligent Computing - Theory and Applications (FICTA)	NOV 16-18, 2015	Durgapur, INDIA	Natl Inst Technol, IEEE Computat Intelligence Soc, Kolkata Chapter, Govt India, Dept Sci & Technol																					2194-5357	2194-5365	978-81-322-2695-6; 978-81-322-2693-2				2016	404						13	21		10.1007/978-81-322-2695-6_2							WOS:000371332400002						
C	Steinbach, B		Selvaraj, H; Zydek, D; Chmaj, G		Steinbach, Bernd			Simpler Functions for Decompositions	PROGRESS IN SYSTEMS ENGINEERING	Advances in Intelligent Systems and Computing				23rd International Conference on Systems Engineering	AUG 19-21, 2014	Las Vegas, NV	Univ Nevada Las Vegas, ALDEC, NVEnergy																					2194-5357	2194-5365	978-3-319-08421-3				2015	366						817	823		10.1007/978-3-319-08422-0_119							WOS:000360214900119						
