PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
C	Griol, D; Sanchis, A; Molina, JM		Garcia, HP; AlfonsoCendon, J; Gonzalez, LS; Quintian, H; Corchado, E		Griol, David; Sanchis, Araceli; Manuel Molina, Jose			A Data-Driven Approach to Dialog Structure Modeling	INTERNATIONAL JOINT CONFERENCE SOCO'17- CISIS'17-ICEUTE'17 PROCEEDINGS	Advances in Intelligent Systems and Computing				12th Int Conf Soft Computing Models in Industrial and Environmental Applications (SOCO) / 10th Int Conf on Computational Intelligence in Security for Information Systems (CISIS) / 8th Int Conf on European Transnational Education	SEP 06-08, 2017	Leon, SPAIN	COESI, Startup Ole, Int Federat Computat Log, Res Inst Appl Sci Cybersecur																					2194-5357	2194-5365	978-3-319-67180-2; 978-3-319-67179-6				2018	649						266	275		10.1007/978-3-319-67180-2_26							WOS:000432924900026						
C	Thiem, PV; Lai, LK; Quynh, NTT		Akagi, M; Nguyen, TT; Vu, DT; Phung, TN; Huynh, VN		Pham Van Thiem; Lai Khac Lai; Nguyen Thi Thanh Quynh			Improved Adaptive Fuzzy Sliding Mode Control for Second Order Nonlinear System	ADVANCES IN INFORMATION AND COMMUNICATION TECHNOLOGY	Advances in Intelligent Systems and Computing				International Conference on Advances in Information and Communication Technology (ICTA)	DEC 12-13, 2016	Thai Nguyen, VIETNAM	Thai Nguyen Univ Informat & Commun Technol, Inst Informat Technol, Vietnam Acad Sci, Fengchia Univ, Japan Adv Inst Sci & Technol, National Chung Cheng Univ								, Van Thiem Pham/AAJ-4161-2020; V. Pham, Thiem/AAN-5905-2020	, Van Thiem Pham/0000-0002-1752-0139; V. Pham, Thiem/0000-0003-0113-8661												2194-5357		978-3-319-49073-1; 978-3-319-49072-4				2017	538						255	264		10.1007/978-3-319-49073-1_28							WOS:000404236200025						
C	Ali, Z; Imran, M; Abdul, W; Shoaib, M		Samsonovich, AV; Klimov, VV		Ali, Zulfiqar; Imran, Muhammad; Abdul, Wadood; Shoaib, Muhammad			An Innovative Algorithm for Privacy Protection in a Voice Disorder Detection System	BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES (BICA) FOR YOUNG SCIENTISTS	Advances in Intelligent Systems and Computing				1st International Early Research Career Enhancement School on Biologically Inspired Cognitive Architectures and Cybersecurity (FIERCES)	AUG 01-06, 2017	Moscow, RUSSIA	BICA Soc, Russian Assoc Artificial Intelligence								Imran, Muhammad/Q-2375-2017; Shoaib, Muhammad/F-8861-2011; Abdul, Wadood/ABD-2040-2020	Imran, Muhammad/0000-0002-6946-2591; Shoaib, Muhammad/0000-0002-0051-6803; Abdul, Wadood/0000-0002-6871-6633												2194-5357	2194-5365	978-3-319-63940-6; 978-3-319-63939-0				2018	636						228	233		10.1007/978-3-319-63940-6_32							WOS:000454681600032						
C	Chung, LV; Cuong, DC		Akagi, M; Nguyen, TT; Vu, DT; Phung, TN; Huynh, VN		Le Van Chung; Duong Chinh Cuong			Design Adaptive-CTC Controller for Tracking Target Used Mobile Robot-Pan Tilt-Stereo Camera System	ADVANCES IN INFORMATION AND COMMUNICATION TECHNOLOGY	Advances in Intelligent Systems and Computing				International Conference on Advances in Information and Communication Technology (ICTA)	DEC 12-13, 2016	Thai Nguyen, VIETNAM	Thai Nguyen Univ Informat & Commun Technol, Inst Informat Technol, Vietnam Acad Sci, Fengchia Univ, Japan Adv Inst Sci & Technol, National Chung Cheng Univ																					2194-5357	2194-5365	978-3-319-49073-1; 978-3-319-49072-4				2017	538						217	227		10.1007/978-3-319-49073-1_24							WOS:000404236200021						
C	Sadowski, T; Zdunek, R		Swiatek, J; Borzemski, L; Wilimowska, Z		Sadowski, Tomasz; Zdunek, Rafal			Modified HALS Algorithm for Image Completion and Recommendation System	INFORMATION SYSTEMS ARCHITECTURE AND TECHNOLOGY, PT II	Advances in Intelligent Systems and Computing				38th International Conference on Information Systems Architecture and Technology (ISAT)	SEP 17-19, 2017	Szklarska Poreba, POLAND	Wroclaw Univ Technol, Fac Comp Sci & Management, Dept Comp Sci, Wroclaw Univ Technol, Fac Comp Sci & Management, Dept Management Syst								Sadowski, Tomasz/AAX-1807-2020	Sadowski, Tomasz/0000-0003-4549-2283												2194-5357	2194-5365	978-3-319-67229-8; 978-3-319-67228-1				2018	656						17	27		10.1007/978-3-319-67229-8_2							WOS:000452439500002						
C	Kukreja, S; Dalal, S		Saeed, K; Chaki, N; Pati, B; Bakshi, S; Mohapatra, DP		Kukreja, Shilpa; Dalal, Surjeet			Performance Analysis of Cloud Resource Provisioning Algorithms	PROGRESS IN ADVANCED COMPUTING AND INTELLIGENT ENGINEERING, PROCEEDINGS OF ICACIE 2016, VOLUME 1	Advances in Intelligent Systems and Computing				International Conference on Advanced Computing and Intelligent Engineering (ICACIE)	DEC 23-25, 2016	C.V. Raman Coll Engn, Bhubaneswar, INDIA	DRDO	C.V. Raman Coll Engn							Dalal, Surjeet/AAL-8155-2020; Dalal, Surjeet/AAK-1179-2021	Dalal, Surjeet/0000-0002-4325-9237												2194-5357	2194-5365	978-981-10-6872-0; 978-981-10-6871-3				2018	563						593	602		10.1007/978-981-10-6872-0_57							WOS:000450831300057						
C	Polenov, M; Guzik, V; Lukyanov, V		Silhavy, R; Silhavy, P; Prokopova, Z; Senkerik, R; Oplatkova, ZK		Polenov, Maxim; Guzik, Vyacheslav; Lukyanov, Vladislav			Using Virtualization Technology for the User Authorization System	SOFTWARE ENGINEERING TRENDS AND TECHNIQUES IN INTELLIGENT SYSTEMS, CSOC2017, VOL 3	Advances in Intelligent Systems and Computing				6th Computer Science On-Line Conference (CSOC)	APR, 2017	Zlin, CZECH REPUBLIC	OpenPublish eu s r o								Polenov, Maxim/K-4591-2016	Polenov, Maxim/0000-0002-1509-1510												2194-5357		978-3-319-57141-6				2017	575						192	200		10.1007/978-3-319-57141-6_20							WOS:000405338500020						
C	Zato, C; Sanchez, A; Villarrubia, G; Bajo, J; Rodriguez, S; De Paz, JF		Uden, L; Herrera, F; Perez, JB; Rodriguea, JMC		Zato, Carolina; Sanchez, Alejandro; Villarrubia, Gabriel; Bajo, Javier; Rodriguez, Sara; De Paz, Juan F.			Personalization of the Workplace through a Proximity Detection System Using User's Profiles	7TH INTERNATIONAL CONFERENCE ON KNOWLEDGE MANAGEMENT IN ORGANIZATIONS: SERVICE AND CLOUD COMPUTING	Advances in Intelligent Systems and Computing				7th International Conference on Knowledge Management in Organizations (KMO 2012)	JUL 11-13, 2012	Salamanca, SPAIN									De Paz, Juan F./C-7040-2009; Villarrubia Gonzalez, Gabriel/I-2834-2015; Gonzalez, Gabriel Villarrubia/AAS-8172-2021; Bajo, Javier/C-7059-2009; Gonzalez, Sara Rodriguez/N-4457-2013	De Paz, Juan F./0000-0001-9461-7922; Villarrubia Gonzalez, Gabriel/0000-0002-6536-2251; Gonzalez, Gabriel Villarrubia/0000-0002-6536-2251; Bajo, Javier/0000-0002-4392-4743; Gonzalez, Sara Rodriguez/0000-0002-3081-5177												2194-5357	2194-5365	978-3-642-30866-6				2013	172						505	513									WOS:000312508900045						
C	Zak, J		Sierpinski, G		Zak, Jacek			Design and Evaluation of Transportation Systems	ADVANCED SOLUTIONS OF TRANSPORT SYSTEMS FOR GROWING MOBILITY	Advances in Intelligent Systems and Computing				14th Scientific and Technical Conference on Transport Systems - Theory and Practice (TSTP)	SEP 18-20, 2017	Katowice, POLAND	Silesian Univ Technol, Fac Transport, Dept Transport Syst & Traff Engn																					2194-5357	2194-5365	978-3-319-62316-0; 978-3-319-62315-3				2018	631						3	29		10.1007/978-3-319-62316-0_1							WOS:000447866800001						
C	Arora, P; Dumka, A		Singh, R; Choudhury, S; Gehlot, A		Arora, Pranav; Dumka, Ankur			Review of Sockets for Transfer of Files Between Systems	INTELLIGENT COMMUNICATION, CONTROL AND DEVICES, ICICCD 2017	Advances in Intelligent Systems and Computing				2nd International Conference on Intelligent Communication, Control and Devices (ICICCD)	APR 15-16, 2017	Dehradun, INDIA	Univ Petr & Energy Studies Engn, Dept Elect, Instrumentat & Control Engn																					2194-5357	2194-5365	978-981-10-5903-2; 978-981-10-5902-5				2018	624						1455	1465		10.1007/978-981-10-5903-2_152							WOS:000553697500152						
C	Chavan, PU; Murugan, M; Chavan, PP		Choudhary, RK; Mandal, JK; Auluck, N; Nagarajaram, HA		Chavan, Pramod U.; Murugan, M.; Chavan, Pratibha P.			Hardware and Software Architecture for Embedded Distributed Control System Using Adaptive Hybrid Communication Channel	ADVANCED COMPUTING AND COMMUNICATION TECHNOLOGIES	Advances in Intelligent Systems and Computing				9th International Conference on Advanced Computing and Communication Technologies (ICACCT)	NOV 28-29, 2015	Asia Pacific Inst Informat Technol, Panipat, INDIA	Inst Elect & Telecommunicat Engineers, Comp Soc India	Asia Pacific Inst Informat Technol								chavan, pratibha/0000-0001-8352-443X												2194-5357	2194-5365	978-981-10-1023-1; 978-981-10-1021-7				2016	452						513	520		10.1007/978-981-10-1023-1_51							WOS:000387180900051						
C	Moustafa, N; Creech, G; Slay, J		Pattnaik, PK; Rautaray, SS; Das, H; Nayak, J		Moustafa, Nour; Creech, Gideon; Slay, Jill			Anomaly Detection System Using Beta Mixture Models and Outlier Detection	PROGRESS IN COMPUTING, ANALYTICS AND NETWORKING, ICCAN 2017	Advances in Intelligent Systems and Computing				International Conference on Computing, Analytics and Networking (ICCAN)	DEC 15-16, 2017	Bhubaneswar, INDIA	KIIT Univ, Sch Comp Engn								Slay, Jill/A-1214-2008	Slay, Jill/0000-0002-2352-8815; Moustafa, Nour/0000-0001-6127-9349												2194-5357	2194-5365	978-981-10-7871-2; 978-981-10-7870-5				2018	710						125	135		10.1007/978-981-10-7871-2_13							WOS:000553798900013						
C	Qian, R		Du, Z		Qian, Ru			The Application of GIS in the Real Estate Management System	PROCEEDINGS OF THE 2012 INTERNATIONAL CONFERENCE OF MODERN COMPUTER SCIENCE AND APPLICATIONS	Advances in Intelligent Systems and Computing				International Conference of Modern Computer Science and Applications (MCSA 2012)	SEP 08, 2012	Wuhan, PEOPLES R CHINA	Informat Technol & Ind Engn Res Ctr																					2194-5357		978-3-642-33029-2				2013	191						553	558									WOS:000313841400090						
C	Popa, SC; Popescu, MC; Naaji, A		Balas, VE; Jain, LC; Balas, MM		Popa, Stefan Cosmin; Popescu, Marius Constantin; Naaji, Antoanela			The Basics of Implementing Intelligent Social Networks	SOFT COMPUTING APPLICATIONS, SOFA 2016, VOL 2	Advances in Intelligent Systems and Computing				7th International Workshop on Soft Computing Applications (SOFA)	AUG 24-26, 2016	Arad, ROMANIA	Aurel Vlaicu Univ Arad, Univ Belgrade, Romanian Acad, Iasi Branch, Inst Comp Sci, IEEE Romanian Sect, Romanian Soc Control Engn & Tech Informat, Arad Sect, Gen Assoc Engineers Romania, Arad Sect, BTM Resources Arad								Naaji, Antoanela/AAX-3812-2020	Naaji, Antoanela/0000-0002-7298-5107												2194-5357	2194-5365	978-3-319-62524-9				2018	634						17	27		10.1007/978-3-319-62524-9_2							WOS:000433139800002						
C	Zhang, YM; Wang, YW; Liu, MM; Xing, K; Guo, S		Balas, VE; Jain, LC; Zhao, X		Zhang Yongmei; Wang Youwei; Liu Mengmeng; Xing Kuo; Guo Sha			Design and Implementation of the Key Technology for Calling Taxi	INFORMATION TECHNOLOGY AND INTELLIGENT TRANSPORTATION SYSTEMS, VOL 1	Advances in Intelligent Systems and Computing				International Conference on Information Technology and Intelligent Transportation Systems (ITITS)	DEC 12-13, 2015	Xian, PEOPLES R CHINA	Shaanxi Comp Soc, Changan Univ, Xian Univ Technol, NW Poly Tech Univ, Shaanxi Sirui Ind Co Ltd, CAS																					2194-5357	2194-5365	978-3-319-38789-5; 978-3-319-38787-1				2017	454						653	663		10.1007/978-3-319-38789-5_72							WOS:000399944500072						
C	Gwamba, G; Renken, J; Nampijja, D; Mayende, G; Muyinda, PB		Auer, ME; Tsiatsos, T		Gwamba, Gerald; Renken, Jaco; Nampijja, Dianah; Mayende, Godfrey; Muyinda, Paul Birevu			Contextualisation of eLearning Systems in Higher Education Institutions	INTERACTIVE MOBILE COMMUNICATION TECHNOLOGIES AND LEARNING	Advances in Intelligent Systems and Computing				11th International Conference on Interactive Mobile Communication Technologies and Learning (IMCL)	NOV 30-DEC 01, 2017	Thessaloniki, GREECE	Aristotle Univ Thessaloniki																					2194-5357	2194-5365	978-3-319-75175-7; 978-3-319-75174-0				2018	725						44	55		10.1007/978-3-319-75175-7_6							WOS:000476866000006						
C	Talaska, T; Dlugosz, R; Skruch, P		Mitkowski, W; Kacprzyk, J; Oprzedkiewicz, K; Skruch, P		Talaska, Tomasz; Dlugosz, Rafal; Skruch, Pawel			Efficient transistor level implementation of selected fuzzy logic operators used in control systems	TRENDS IN ADVANCED INTELLIGENT CONTROL, OPTIMIZATION AND AUTOMATION	Advances in Intelligent Systems and Computing				19th Polish Control Conference (KKA)	JUN 18-21, 2017	Krakow, POLAND	AGH Univ Sci & Technol, Fac Elect Engn, Automat, Comp Sci & Biomed Engn, Dept Automat & Biomed Engn, Polish Acad Sci, Comm Automat Control & Robot, Polish Acad Arts & Sci, Commiss Engn Sci								Dlugosz, Rafal/AAE-1480-2020	Talaska, Tomasz/0000-0001-7252-8013; Skruch, Pawel/0000-0002-8290-8375												2194-5357	2194-5365	978-3-319-60699-6				2017	577						787	796		10.1007/978-3-319-60699-6_76							WOS:000470009800076						
C	Sureshkumar, W; Rama, R		Das, S; Pal, T; Kar, S; Satapathy, SC; Mandal, JK		Sureshkumar, Williams; Rama, Raghavan			4-Directional Combinatorial Motion Planning Via Labeled Isotonic Array P System	PROCEEDINGS OF THE 4TH INTERNATIONAL CONFERENCE ON FRONTIERS IN INTELLIGENT COMPUTING: THEORY AND APPLICATIONS (FICTA) 2015	Advances in Intelligent Systems and Computing				4th International Conference on Frontiers in Intelligent Computing - Theory and Applications (FICTA)	NOV 16-18, 2015	Durgapur, INDIA	Natl Inst Technol, IEEE Computat Intelligence Soc, Kolkata Chapter, Govt India, Dept Sci & Technol									Raghavan, Rama/0000-0002-5780-7417												2194-5357		978-81-322-2695-6; 978-81-322-2693-2				2016	404						701	709		10.1007/978-81-322-2695-6_60							WOS:000371332400060						
S	Chuang, CC; Jeng, JT; Hu, GY		Rhee, SY; Park, J; Inoue, A		Chuang, Chen-Chia; Jeng, Jin-Tsong; Hu, Guan-Yi			LTS-SVMR for Modeling of Nonlinear Systems with Noise and Outliers	SOFT COMPUTING IN MACHINE LEARNING	Advances in Intelligent Systems and Computing																												2194-5357		978-3-319-05532-9				2014	273						105	115		10.1007/978-3-319-05533-6_11	10.1007/978-3-319-05533-6						WOS:000405040900011						
C	Ming, XY; Yu, GW; Deng, SG	Nunes, IL			Ming, Xiaoyang; Yu, Guangwei; Deng, Shiguang	Nunes, IL		HFE Application in Human System Interface Design of Nuclear Power Plant	ADVANCES IN HUMAN FACTORS AND SYSTEMS INTERACTION	Advances in Intelligent Systems and Computing				AHFE International Conference on Human Factors and System Interactions	JUL 17-21, 2017	Los Angeles, CA																						2194-5357	2194-5365	978-3-319-60366-7; 978-3-319-60365-0				2018	592						361	370		10.1007/978-3-319-60366-7_34							WOS:000448246000034						
C	Kaczorek, T		Szewczyk, R; Zielinski, C; Kaliczynska, M		Kaczorek, Tadeusz			Fractional Standard and Positive Descriptor Time-Varying Discrete-Time Linear Systems	PROGRESS IN AUTOMATION, ROBOTICS AND MEASURING TECHNIQUES: CONTROL AND AUTOMATION	Advances in Intelligent Systems and Computing				International Conference on Automation	MAR 18-20, 2015	Warsaw, POLAND									Kaczorek, Tadeusz/I-4601-2018	Kaczorek, Tadeusz/0000-0002-1270-3948												2194-5357	2194-5365	978-3-319-15796-2; 978-3-319-15795-5				2015	350						101	112		10.1007/978-3-319-15796-2_11							WOS:000379159000011						
C	Jena, T; Mohanty, JR		Satapathy, SC; Bhateja, V; Udgata, SK; Pattnaik, PK		Jena, Tamanna; Mohanty, J. R.			Cloud Security and Jurisdiction: Need of the Hour	PROCEEDINGS OF THE 5TH INTERNATIONAL CONFERENCE ON FRONTIERS IN INTELLIGENT COMPUTING: THEORY AND APPLICATIONS, FICTA 2016, VOL 1	Advances in Intelligent Systems and Computing				5th International Conference on Frontiers in Intelligent Computing - Theory and Applications (FICTA)	SEP 16-17, 2016	KIIT Univ, Sch Comp Engn, Bhubaneswar, INDIA		KIIT Univ, Sch Comp Engn								Mohanty, Jnyana Ranjan/0000-0002-8762-3037												2194-5357	2194-5365	978-981-10-3153-3; 978-981-10-3152-6				2017	515						425	433		10.1007/978-981-10-3153-3_42							WOS:000425536200042						
C	Siddique, U; Tahar, S		BouabanaTebibel, T; Rubin, SH		Siddique, Umair; Tahar, Sofiene			On the Formalization of Cardinal Points of Optical Systems	FORMALISMS FOR REUSE AND SYSTEMS INTEGRATION	Advances in Intelligent Systems and Computing				Conference on Information Reuse and Integration and the IEEE International Workshop on Formal Methods Integration	AUG 19-20, 2014	San Francisco, CA										Siddique, Umair/0000-0001-6871-5289												2194-5357	2194-5365	978-3-319-16577-6; 978-3-319-16576-9				2015	346						79	102		10.1007/978-3-319-16577-6_4							WOS:000380543300004						
C	Singh, JP; Dey, R; Roy, BK		Balas, VE; Jain, LC; Balas, MM		Singh, Jay Prakash; Dey, Rajeeb; Roy, Binoy Krishna			An LMI Based Integral SMC for Tracking Control of a New 4-D Conservative Chaotic System	SOFT COMPUTING APPLICATIONS, SOFA 2016, VOL 2	Advances in Intelligent Systems and Computing				7th International Workshop on Soft Computing Applications (SOFA)	AUG 24-26, 2016	Arad, ROMANIA	Aurel Vlaicu Univ Arad, Univ Belgrade, Romanian Acad, Iasi Branch, Inst Comp Sci, IEEE Romanian Sect, Romanian Soc Control Engn & Tech Informat, Arad Sect, Gen Assoc Engineers Romania, Arad Sect, BTM Resources Arad								Singh, Jay P/Z-1517-2018	Singh, Jay P/0000-0003-3093-1706												2194-5357	2194-5365	978-3-319-62524-9				2018	634						354	364		10.1007/978-3-319-62524-9_27							WOS:000433139800027						
C	Ali, AA; Jasek, R; Krayem, S; Zacek, P		Silhavy, R; Senkerik, R; Oplatkova, ZK; Prokopova, Z; Silhavy, P		Ali, Ammar Alhaj; Jasek, Roman; Krayem, Said; Zacek, Petr			Proving the Effectiveness of Negotiation Protocols KQML in Multi-agent Systems Using Event-B	CYBERNETICS AND MATHEMATICS APPLICATIONS IN INTELLIGENT SYSTEMS, CSOC2017, VOL 2	Advances in Intelligent Systems and Computing				6th Computer Science On-Line Conference (CSOC)	APR, 2017	Zlin, CZECH REPUBLIC	OpenPublish eu s r o								Jasek, Roman/E-3492-2018; Jasek, Roman/AAB-3443-2019	Jasek, Roman/0000-0002-9831-9372; Jasek, Roman/0000-0002-9831-9372												2194-5357	2194-5365	978-3-319-57264-2				2017	574						397	406		10.1007/978-3-319-57264-2_40							WOS:000405339200040						
C	Das, S; Chatterjee, R		Mandal, JK; Satapathy, SC; Sanyal, MK; Sarkar, PP; Mukhopadhyay, A		Das, Syaamantak; Chatterjee, Rajeev			A Proposed Systematic User-Interface Design Framework for Synchronous and Asynchronous E-learning Systems	INFORMATION SYSTEMS DESIGN AND INTELLIGENT APPLICATIONS, VOL 2	Advances in Intelligent Systems and Computing				2nd International Conference on Information Systems Design and Intelligent Applications (INDIA)	JAN 08-09, 2015	Univ Kalyani, Kalyani, INDIA	Univ Kalyani, Fac Engn, Technol & Management, UGC New Delhi	Univ Kalyani							Das, Syaamantak/AAT-1822-2020	Das, Syaamantak/0000-0001-9896-3312												2194-5357		978-81-322-2247-7; 978-81-322-2246-0				2015	340						337	347		10.1007/978-81-322-2247-7_35							WOS:000357739900035						
C	Sasgratella, M; Polzonetti, A		Rocha, A; Guarda, T		Sasgratella, Matteo; Polzonetti, Alberto			Best Practice in Advanced Enterprise Knowledge Engineering	PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY & SYSTEMS (ICITS 2018)	Advances in Intelligent Systems and Computing				International Conference on Information Technology and Systems (ICITS)	JAN 10-13, 2018	Univ Estatal Peninsula Santa Elena, Libertad, ECUADOR		Univ Estatal Peninsula Santa Elena																				2194-5357	2194-5365	978-3-319-73450-7; 978-3-319-73449-1				2018	721						211	223		10.1007/978-3-319-73450-7_21							WOS:000460957300021						
C	Mintenbeck, J; Ledermann, C; Estana, R; Worn, H		Menegatti, E; Michael, N; Berns, K; Yamaguchi, H		Mintenbeck, Julien; Ledermann, Christoph; Estana, Ramon; Woern, Heinz			EndoSnake-A Single-Arm-Multi-Port MIRS System with Flexible Instruments	INTELLIGENT AUTONOMOUS SYSTEMS 13	Advances in Intelligent Systems and Computing				13th International Conference on Intelligent Autonomous Systems (IAS)	JUL 15-18, 2014	Centro Congressi Padova, Padova, ITALY	Univ Padova	Centro Congressi Padova																				2194-5357	2194-5365	978-3-319-08338-4; 978-3-319-08337-7				2016	302						1107	1117		10.1007/978-3-319-08338-4_80							WOS:000377956900080						
C	Fernandez-Ceniceros, J; Torres, JA; Urraca-Valle, R; Sodupe-Ortega, E; Sanz-Garcia, A		DeLaPuerta, JG; Ferreira, IG; Bringas, PG; Klett, F; Abraham, A; DeCarvalho, ACPLF; Herrero, A; Baruque, B; Quintian, H; Corchado, E		Fernandez-Ceniceros, Julio; Antonanzas Torres, Javier; Urraca-Valle, Ruben; Sodupe-Ortega, Enrique; Sanz-Garcia, Andres			Soft Computing Metamodels for the Failure Prediction of T-stub Bolted Connections	INTERNATIONAL JOINT CONFERENCE SOCO'14-CISIS'14-ICEUTE'14	Advances in Intelligent Systems and Computing				International Joint Conference on SOCO, CISIS, ICEUTE	JUN 25-27, 2014	Bilbao, SPAIN	IEEE Secc Espana, IEEE Syst Man & Cybernet Capitulo Espanol, AEPIA, Gobierno Vasco, Diputac Foral Bizkaia, Ayuntamiento Bilbao, MIR Labs, Int Federat Computat Log								Sanz-Garcia, Andres/F-7981-2012; Urraca, Ruben/I-3256-2015	Sanz-Garcia, Andres/0000-0003-0413-4965; Sodupe Ortega, Enrique/0000-0001-7126-9275; Urraca, Ruben/0000-0003-0453-1143; Fernandez-Ceniceros, Julio/0000-0003-3620-5991; Antonanzas, Javier/0000-0002-8042-9207												2194-5357	2194-5365	978-3-319-07995-0; 978-3-319-07994-3				2014	299						41	51		10.1007/978-3-319-07995-0_5							WOS:000343754200005						
C	Gao, XL; Hui, XJ; Zhu, ND		Fan, TH; Chen, SL; Wang, SM; Li, YM		Gao, Xiao-Li; Hui, Xiao-Jing; Zhu, Nai-Diao			Relative Divergence Degree and Relative Consistency Degree of Theories in a Kind of Goguen Propositional Logic System	QUANTITATIVE LOGIC AND SOFT COMPUTING 2016	Advances in Intelligent Systems and Computing				4th International Conference on Quantitative Logic and Soft Computing (QLSC)	OCT 14-17, 2016	Zhejiang Sci Tech Univ, Hangzhou, PEOPLES R CHINA	Natl Nat Sci Fdn China	Zhejiang Sci Tech Univ																				2194-5357	2194-5365	978-3-319-46206-6; 978-3-319-46205-9				2017	510						89	100		10.1007/978-3-319-46206-6_10							WOS:000392266600010						
C	Qi, J; Hu, F; Li, X; Koushik, AM; Hu, L; Kumar, S		Latifi, S		Qi, Ji; Hu, Fei; Li, Xin; Koushik, A. M.; Hu, Lei; Kumar, Sunil			CR Based Video Communication Testbed with Robust Spectrum Sensing / Handoff	INFORMATION TECHNOLOGY: NEW GENERATIONS	Advances in Intelligent Systems and Computing				13th International Conference on Information Technology - New Generations (ITNG)	APR 11-13, 2016	Las Vegas, NV										Araseethota Manjunatha, Koushik/0000-0002-6277-770X												2194-5357	2194-5365	978-3-319-32467-8; 978-3-319-32466-1				2016	448						59	70		10.1007/978-3-319-32467-8_6							WOS:000385289400006						
C	Barrios, IA; Garcia, E; De Luise, DL; Paredes, C; Celayeta, A; Sandillu, M; Bel, W		Balas, VE; Jain, LC; Kovacevic, B		Acuna Barrios, I.; Garcia, E.; Lopez De Luise, Daniela; Paredes, C.; Celayeta, A.; Sandillu, M.; Bel, W.			Traffic and Pedestrian Risk Inference Using Harmonic Systems	SOFT COMPUTING APPLICATIONS, (SOFA 2014), VOL 1	Advances in Intelligent Systems and Computing				6th International Workshop on Soft Computing Applications (SOFA)	JUL 24-26, 2014	Timisoara, ROMANIA	Univ Belgrade																					2194-5357	2194-5365	978-3-319-18296-4				2016	356		I				103	112		10.1007/978-3-319-18296-4_8							WOS:000452853200008						
C	Kumar, RK; Suresh, K		Satapathy, SC; Biswal, BN; Udgata, SK; Mandal, JK		Kumar, R. Kiran; Suresh, K.			Improving Query Processing Performance Using Optimization among CPEL Factors	PROCEEDINGS OF THE 3RD INTERNATIONAL CONFERENCE ON FRONTIERS OF INTELLIGENT COMPUTING: THEORY AND APPLICATIONS (FICTA) 2014, VOL 1	Advances in Intelligent Systems and Computing				3rd International Conference on Frontiers in Intelligent Computing - Theory and Applications (FICTA)	NOV 14-15, 2014	Bhubaneswar, INDIA	Bhubaneswar Engn Coll, Anil Neerukonda Inst Technol & Sci, CSI Student Branch																					2194-5357		978-3-319-11932-8				2015	327						51	58		10.1007/978-3-319-11933-5_7							WOS:000347779500007						
C	Ahram, T; Karwowski, W; Muhs, K		Boring, RL		Ahram, Tareq; Karwowski, Waldemar; Muhs, Kevin			Human Performance Variability in Task Execution Times Under Generic Human-System Integration Conditions in Naval Operations	ADVANCES IN HUMAN ERROR, RELIABILITY, RESILIENCE, AND PERFORMANCE	Advances in Intelligent Systems and Computing				AHFE International Conference on Human Error, Reliability, Resilience, and Performance	JUL 17-21, 2017	Los Angeles, CA									Karwowski, Waldemar/B-2449-2012													2194-5357	2194-5365	978-3-319-60645-3; 978-3-319-60644-6				2018	589						175	182		10.1007/978-3-319-60645-3_17							WOS:000451453000017						
C	Ungureanu-Anghel, D; Prostean, O; Filip, I; Popescu, M		Balas, VE; Jain, LC; Kovacevic, B		Ungureanu-Anghel, Dan; Prostean, Octavian; Filip, Ioan; Popescu, Mihai			Integrated Supervision and Control System for Air-electrical Aggregates	SOFT COMPUTING APPLICATIONS, (SOFA 2014), VOL 2	Advances in Intelligent Systems and Computing				6th International Workshop on Soft Computing Applications (SOFA)	JUL 24-26, 2014	Timisoara, ROMANIA	Univ Belgrade									Prostean, Octavian/0000-0002-0459-5916												2194-5357	2194-5365	978-3-319-18416-6; 978-3-319-18415-9				2016	357		2				1301	1313		10.1007/978-3-319-18416-6_104							WOS:000452854600048						
C	Pujahari, A; Padmanabhan, V; Patel, S		Behera, HS; Mohapatra, DP		Pujahari, Abinash; Padmanabhan, Vineet; Patel, Soma			Nearest Neighbour with Priority Based Recommendation Approach to Group Recommender System	COMPUTATIONAL INTELLIGENCE IN DATA MINING, CIDM, VOL 2	Advances in Intelligent Systems and Computing				2nd International Conference on Computational Intelligence in Data Mining (ICCIDM)	DEC 05-06, 2015	Bhubaneswar, INDIA	Roland Inst Technol								Pujahari, Abinash/AAQ-2843-2021	Pujahari, Abinash/0000-0002-5393-3782; Padmanabhan, Vineet/0000-0002-5571-839X												2194-5357	2194-5365	978-81-322-2731-1; 978-81-322-2729-8				2016	411						347	354		10.1007/978-81-322-2731-1_32							WOS:000377541400032						
